cod_municipio,municipio,mesorregiao,populacao,n_ocorrencias,n_crime_rua,taxa_100k,taxa_crime_rua_100k
4301701.0,BARAO DE COTEGIPE,Noroeste Rio-grandense,7144.0,1385,322,4846.724524076148,1126.8197088465845
4304804.0,CARLOS BARBOSA,Nordeste Rio-grandense,30420.0,5894,1153,4843.852728468113,947.5673898750822
4323705.0,VISTA GAUCHA,Noroeste Rio-grandense,2783.0,539,99,4841.897233201581,889.3280632411067
4310306.0,ILOPOLIS,Nordeste Rio-grandense,4157.0,805,241,4841.231657445273,1449.3625210488333
4306932.0,ENTRE IJUIS,Noroeste Rio-grandense,9158.0,1772,535,4837.300720681372,1460.471718715877
4300505.0,ALPESTRE,Noroeste Rio-grandense,7117.0,1377,353,4837.009976113531,1239.9887593086976
4304358.0,CANDIOTA,Sudeste Rio-grandense,10710.0,2069,642,4829.598506069095,1498.5994397759105
4318465.0,SAO JOSE DO HERVAL,Noroeste Rio-grandense,1902.0,367,98,4823.869610935857,1288.117770767613
4317756.0,SANTO ANTONIO DO PLANALTO,Noroeste Rio-grandense,2089.0,403,120,4822.881761608425,1436.0938247965535
4311981.0,MARIANA PIMENTEL,Metropolitana de Porto Alegre,3916.0,755,231,4819.96935648621,1474.7191011235955
4317251.0,SANTA TEREZA,Nordeste Rio-grandense,1505.0,289,83,4800.664451827242,1378.7375415282393
4312906.0,NOVA BASSANO,Nordeste Rio-grandense,9649.0,1852,466,4798.424707223546,1207.379003005493
4311502.0,LAVRAS DO SUL,Sudoeste Rio-grandense,7157.0,1372,429,4792.510828559452,1498.5329048484002
4314456.0,PINHAL,Noroeste Rio-grandense,2959.0,567,146,4790.469753295032,1233.5248394727948
4302659.0,BROCHIER,Metropolitana de Porto Alegre,4966.0,950,203,4782.521143777688,1021.9492549335482
4304101.0,CAMPOS BORGES,Noroeste Rio-grandense,3613.0,691,184,4781.345142540825,1273.1801826736785
4321808.0,TRES DE MAIO,Noroeste Rio-grandense,24916.0,4762,1260,4778.0542623214,1264.2478728527853
4313359.0,NOVA ROMA DO SUL,Nordeste Rio-grandense,3466.0,662,146,4774.956722446625,1053.0871321407963
4304853.0,CARLOS GOMES,Noroeste Rio-grandense,1368.0,261,63,4769.736842105263,1151.3157894736842
4310751.0,IVORA,Centro Ocidental Rio-grandense,1929.0,368,73,4769.310523587351,946.0860549507518
4312377.0,MONTE ALEGRE DOS CAMPOS,Nordeste Rio-grandense,3180.0,605,143,4756.289308176101,1124.2138364779873
4320354.0,SENTINELA DO SUL,Metropolitana de Porto Alegre,5306.0,1006,320,4739.917075009424,1507.7271013946477
4310801.0,IVOTI,Metropolitana de Porto Alegre,22983.0,4357,966,4739.372579732846,1050.776661010312
4319752.0,SAO VENDELINO,Metropolitana de Porto Alegre,2251.0,426,89,4731.230564193692,988.4495779653488
4305959.0,COTIPORA,Nordeste Rio-grandense,3846.0,727,202,4725.689027561102,1313.052522100884
4308854.0,GENTIL,Noroeste Rio-grandense,1744.0,329,98,4716.1697247706425,1404.816513761468
4301750.0,BARAO DO TRIUNFO,Metropolitana de Porto Alegre,5889.0,1108,272,4703.684836135167,1154.6951944302937
4313037.0,NOVA ESPERANCA DO SUL,Centro Ocidental Rio-grandense,4865.0,914,191,4696.813977389517,981.5005138746146
4302451.0,BOQUEIRAO DO LEAO,Centro Oriental Rio-grandense,6247.0,1172,310,4690.2513206339045,1240.5954858332
4309803.0,IBIACA,Noroeste Rio-grandense,4527.0,847,213,4677.49061188425,1176.2756792577866
4315156.0,PROGRESSO,Centro Oriental Rio-grandense,5340.0,997,302,4667.602996254682,1413.8576779026216
4319711.0,SAO VALENTIM DO SUL,Nordeste Rio-grandense,2207.0,412,105,4666.968735840508,1189.3973719981877
4311155.0,JOIA,Noroeste Rio-grandense,7184.0,1335,322,4645.740534521158,1120.5456570155902
4309753.0,IBARAMA,Centro Oriental Rio-grandense,3732.0,693,170,4642.282958199357,1138.7995712754555
4308052.0,FAXINALZINHO,Noroeste Rio-grandense,2520.0,467,105,4632.936507936508,1041.6666666666665
4301651.0,BARAO,Metropolitana de Porto Alegre,6461.0,1197,200,4631.635969664138,773.874013310633
4320602.0,SEVERIANO DE ALMEIDA,Noroeste Rio-grandense,3406.0,628,172,4609.512624779801,1262.477980035232
4304655.0,CAPAO DO CIPO,Centro Ocidental Rio-grandense,3119.0,575,143,4608.848990060917,1146.2007053542802
4314472.0,PINHAL GRANDE,Centro Ocidental Rio-grandense,3805.0,701,154,4605.781865965834,1011.826544021025
4307450.0,ESPERANCA DO SUL,Noroeste Rio-grandense,3226.0,592,87,4587.724736515809,674.2095474271543
4322558.0,VANINI,Noroeste Rio-grandense,2004.0,367,89,4578.343313373253,1110.2794411177645
4315321.0,QUEVEDOS,Centro Ocidental Rio-grandense,2507.0,458,128,4567.211806940567,1276.4260071798963
4304663.0,CAPAO DO LEAO,Sudeste Rio-grandense,26487.0,4835,1187,4563.559482010042,1120.3609317778532
4322376.0,UNISTALDA,Centro Ocidental Rio-grandense,1995.0,364,78,4561.40350877193,977.4436090225564
4312005.0,MARIANO MORO,Noroeste Rio-grandense,1858.0,339,100,4561.356297093649,1345.5328310010764
4300208.0,AJURICABA,Noroeste Rio-grandense,6720.0,1224,292,4553.571428571428,1086.3095238095239
4311270.0,LAGOA DOS TRES CANTOS,Noroeste Rio-grandense,1738.0,316,45,4545.454545454546,647.2957422324511
4321329.0,TAQUARUCU DO SUL,Noroeste Rio-grandense,3119.0,565,117,4528.695094581597,937.8005771080474
4315750.0,RIOZINHO,Metropolitana de Porto Alegre,4473.0,807,169,4510.395707578807,944.5562262463671
4322525.0,VALE VERDE,Metropolitana de Porto Alegre,3150.0,566,182,4492.063492063492,1444.4444444444443
4316600.0,SANANDUVA,Noroeste Rio-grandense,16399.0,2945,828,4489.603024574669,1262.272089761571
