tipo,registros,macro
USO DE DOCUMENTO FALSO,267,OUTROS
ASSEDIO SEXUAL,255,SEXUAL
DIVULGACAO DE CENA DE ESTUPRO DE SEXO OU DE PORNOGRAFIA,235,SEXUAL
COACAO NO CURSO DO PROCESSO,233,OUTROS
FURTO DE ARMA,224,FURTO_OUTROS
OUTROS CRIMES QUE GERAM TERMOS CIRCUNSTANCIADOS,217,OUTROS
RECEPTACAO QUALIFICADA,207,FRAUDE
ROUBO A PASSAGEIRO TRANSP. COLETIVO E LOTACAO,201,ROUBO_OUTROS
PRECONCEITO RELIGIAO,200,HONRA_DISCRIM
PRECONCEITO DEFICIENCIA,197,HONRA_DISCRIM
CRIMES DE ABUSO DE AUTORIDADE,192,OUTROS
OUTROS CRIMES CONTRA A ADMINISTRACAO PUBLICA,191,OUTROS
CONDUTO INCONVENIENTE,190,OUTROS
CRIMES CONTRA A FAUNA,187,OUTROS
FURTO/ARROMBAMENTO A ESTABELECIMENTO DE ENSINO,179,FURTO_ARROMBAMENTO
ATO OBSCENO,176,OUTROS
INTIMIDACAO  BULLYING,158,OUTROS
ROUBO A MOTORISTA PARTICULAR,149,ROUBO_OUTROS
VIOLAR A SUSPENSAO OU PROIBICAO DE DIRIGIR VEICULO ART.307,146,TRANSITO
FALSIFICACAO DE PAPEIS/DOCUMENTOS PUBLICOS,142,OUTROS
LESAO CORPORAL GRAVE,137,LESAO
PICHAR OU POR OUTRO MEIO CONSPURCAR EDIFICACAO OU MONUMENTO URBANO,128,OUTROS
ROUBO DE VEICULO COM LESOES,120,ROUBO_VEICULO
CRIMES DE LAVAGEM OU OCULTACAO DE BENS DIREITOS E VALORES LEI 9613 DE 3 DE MARCO DE 1998,119,OUTROS
PORTE ARMA BRANCA,119,ARMAS
FURTO ABIGEATO,118,FURTO_OUTROS
CONSTRANGIMENTO ILEGAL DE CRIANCA E ADOLESCENTE,116,OUTROS
ABANDONO MATERIAL,114,OUTROS
FURTO DE COISA COMUM ART 156  SUBTRAIR O CONDOMINO COHERDEIRO OU SOCIO PARA SI OU PARA OUTREM A QUEM LEGITIMAMENTE A DETEM A COISA COMUM,113,FURTO_OUTROS
RECEPTACAO CULPOSA,112,FRAUDE
PORNOGRAFIA INFANTO-JUVENIL,110,OUTROS
