cod_municipio,municipio,municipio_norm,mesorregiao,regiao_intermediaria,populacao,ano_populacao
4313409,Novo Hamburgo,NOVO HAMBURGO,Metropolitana de Porto Alegre,Porto Alegre,227646,2022
4313425,Novo Machado,NOVO MACHADO,Noroeste Rio-grandense,Ijuí,3198,2022
4313441,Novo Tiradentes,NOVO TIRADENTES,Noroeste Rio-grandense,Passo Fundo,2146,2022
4313466,Novo Xingu,NOVO XINGU,Noroeste Rio-grandense,Passo Fundo,1646,2022
4313490,Novo Barreiro,NOVO BARREIRO,Noroeste Rio-grandense,Passo Fundo,4272,2022
4313508,Osório,OSORIO,Metropolitana de Porto Alegre,Porto Alegre,47396,2022
4313607,Paim Filho,PAIM FILHO,Noroeste Rio-grandense,Passo Fundo,3629,2022
4313656,Palmares do Sul,PALMARES DO SUL,Metropolitana de Porto Alegre,Porto Alegre,12844,2022
4313706,Palmeira das Missões,PALMEIRA DAS MISSOES,Noroeste Rio-grandense,Passo Fundo,33216,2022
4313805,Palmitinho,PALMITINHO,Noroeste Rio-grandense,Passo Fundo,7839,2022
4313904,Panambi,PANAMBI,Noroeste Rio-grandense,Ijuí,43515,2022
4313953,Pantano Grande,PANTANO GRANDE,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,10212,2022
4314001,Paraí,PARAI,Nordeste Rio-grandense,Caxias do Sul,7194,2022
4314027,Paraíso do Sul,PARAISO DO SUL,Centro Oriental Rio-grandense,Santa Maria,6519,2022
4314035,Pareci Novo,PARECI NOVO,Metropolitana de Porto Alegre,Porto Alegre,4319,2022
4314050,Parobé,PAROBE,Metropolitana de Porto Alegre,Porto Alegre,52058,2022
4314068,Passa Sete,PASSA SETE,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,3983,2022
4314076,Passo do Sobrado,PASSO DO SOBRADO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,6025,2022
4314100,Passo Fundo,PASSO FUNDO,Noroeste Rio-grandense,Passo Fundo,206215,2022
4314134,Paulo Bento,PAULO BENTO,Noroeste Rio-grandense,Passo Fundo,2144,2022
4314159,Paverama,PAVERAMA,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,7978,2022
4314175,Pedras Altas,PEDRAS ALTAS,Sudeste Rio-grandense,Pelotas,2061,2022
4314209,Pedro Osório,PEDRO OSORIO,Sudeste Rio-grandense,Pelotas,7484,2022
4314308,Pejuçara,PEJUCARA,Noroeste Rio-grandense,Ijuí,3745,2022
4314407,Pelotas,PELOTAS,Sudeste Rio-grandense,Pelotas,325685,2022
4314423,Picada Café,PICADA CAFE,Metropolitana de Porto Alegre,Caxias do Sul,5351,2022
4314456,Pinhal,PINHAL,Noroeste Rio-grandense,Passo Fundo,2959,2022
4314464,Pinhal da Serra,PINHAL DA SERRA,Nordeste Rio-grandense,Caxias do Sul,2248,2022
4314472,Pinhal Grande,PINHAL GRANDE,Centro Ocidental Rio-grandense,Santa Maria,3805,2022
4314498,Pinheirinho do Vale,PINHEIRINHO DO VALE,Noroeste Rio-grandense,Passo Fundo,4540,2022
4314506,Pinheiro Machado,PINHEIRO MACHADO,Sudeste Rio-grandense,Pelotas,11214,2022
4314548,Pinto Bandeira,PINTO BANDEIRA,Nordeste Rio-grandense,Caxias do Sul,2723,2022
4314555,Pirapó,PIRAPO,Noroeste Rio-grandense,Ijuí,2260,2022
4314605,Piratini,PIRATINI,Sudeste Rio-grandense,Pelotas,17504,2022
4314704,Planalto,PLANALTO,Noroeste Rio-grandense,Passo Fundo,10406,2022
4314753,Poço das Antas,POCO DAS ANTAS,Metropolitana de Porto Alegre,Santa Cruz do Sul - Lajeado,2171,2022
4314779,Pontão,PONTAO,Noroeste Rio-grandense,Passo Fundo,3296,2022
4314787,Ponte Preta,PONTE PRETA,Noroeste Rio-grandense,Passo Fundo,1575,2022
4314803,Portão,PORTAO,Metropolitana de Porto Alegre,Porto Alegre,34071,2022
4314902,Porto Alegre,PORTO ALEGRE,Metropolitana de Porto Alegre,Porto Alegre,1332845,2022
4315008,Porto Lucena,PORTO LUCENA,Noroeste Rio-grandense,Ijuí,4360,2022
4315057,Porto Mauá,PORTO MAUA,Noroeste Rio-grandense,Ijuí,2142,2022
4315073,Porto Vera Cruz,PORTO VERA CRUZ,Noroeste Rio-grandense,Ijuí,1560,2022
4315107,Porto Xavier,PORTO XAVIER,Noroeste Rio-grandense,Ijuí,9938,2022
4315131,Pouso Novo,POUSO NOVO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,1739,2022
4315149,Presidente Lucena,PRESIDENTE LUCENA,Metropolitana de Porto Alegre,Porto Alegre,3077,2022
4315156,Progresso,PROGRESSO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,5340,2022
4315172,Protásio Alves,PROTASIO ALVES,Nordeste Rio-grandense,Caxias do Sul,2025,2022
4315206,Putinga,PUTINGA,Nordeste Rio-grandense,Santa Cruz do Sul - Lajeado,3747,2022
4315305,Quaraí,QUARAI,Sudoeste Rio-grandense,Uruguaiana,23500,2022
4315313,Quatro Irmãos,QUATRO IRMAOS,Noroeste Rio-grandense,Passo Fundo,1552,2022
4315321,Quevedos,QUEVEDOS,Centro Ocidental Rio-grandense,Santa Maria,2507,2022
4315354,Quinze de Novembro,QUINZE DE NOVEMBRO,Noroeste Rio-grandense,Passo Fundo,3910,2022
4315404,Redentora,REDENTORA,Noroeste Rio-grandense,Ijuí,9738,2022
4315453,Relvado,RELVADO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,1796,2022
4315503,Restinga Sêca,RESTINGA SECA,Centro Ocidental Rio-grandense,Santa Maria,14939,2022
4315552,Rio dos Índios,RIO DOS INDIOS,Noroeste Rio-grandense,Passo Fundo,2835,2022
4315602,Rio Grande,RIO GRANDE,Sudeste Rio-grandense,Pelotas,191900,2022
4315701,Rio Pardo,RIO PARDO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,34654,2022
4315750,Riozinho,RIOZINHO,Metropolitana de Porto Alegre,Porto Alegre,4473,2022
4315800,Roca Sales,ROCA SALES,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,10418,2022
4315909,Rodeio Bonito,RODEIO BONITO,Noroeste Rio-grandense,Passo Fundo,6654,2022
4315958,Rolador,ROLADOR,Noroeste Rio-grandense,Ijuí,2291,2022
4316006,Rolante,ROLANTE,Metropolitana de Porto Alegre,Porto Alegre,21253,2022
4316105,Ronda Alta,RONDA ALTA,Noroeste Rio-grandense,Passo Fundo,9777,2022
4316204,Rondinha,RONDINHA,Noroeste Rio-grandense,Passo Fundo,4991,2022
4316303,Roque Gonzales,ROQUE GONZALES,Noroeste Rio-grandense,Ijuí,6576,2022
4316402,Rosário do Sul,ROSARIO DO SUL,Sudoeste Rio-grandense,Uruguaiana,36630,2022
4316428,Sagrada Família,SAGRADA FAMILIA,Noroeste Rio-grandense,Passo Fundo,2480,2022
4316436,Saldanha Marinho,SALDANHA MARINHO,Noroeste Rio-grandense,Passo Fundo,2575,2022
4316451,Salto do Jacuí,SALTO DO JACUI,Noroeste Rio-grandense,Passo Fundo,10203,2022
4316477,Salvador das Missões,SALVADOR DAS MISSOES,Noroeste Rio-grandense,Ijuí,2877,2022
4316501,Salvador do Sul,SALVADOR DO SUL,Metropolitana de Porto Alegre,Porto Alegre,6879,2022
4316600,Sananduva,SANANDUVA,Noroeste Rio-grandense,Passo Fundo,16399,2022
4316709,Santa Bárbara do Sul,SANTA BARBARA DO SUL,Noroeste Rio-grandense,Passo Fundo,8122,2022
4316733,Santa Cecília do Sul,SANTA CECILIA DO SUL,Noroeste Rio-grandense,Passo Fundo,1674,2022
4316758,Santa Clara do Sul,SANTA CLARA DO SUL,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,6887,2022
4316808,Santa Cruz do Sul,SANTA CRUZ DO SUL,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,133230,2022
4316907,Santa Maria,SANTA MARIA,Centro Ocidental Rio-grandense,Santa Maria,271735,2022
4316956,Santa Maria do Herval,SANTA MARIA DO HERVAL,Metropolitana de Porto Alegre,Porto Alegre,6340,2022
4316972,Santa Margarida do Sul,SANTA MARGARIDA DO SUL,Sudoeste Rio-grandense,Santa Maria,2596,2022
4317004,Santana da Boa Vista,SANTANA DA BOA VISTA,Sudeste Rio-grandense,Santa Maria,7024,2022
4317103,Sant'Ana do Livramento,SANT ANA DO LIVRAMENTO,Sudoeste Rio-grandense,Uruguaiana,84421,2022
4317202,Santa Rosa,SANTA ROSA,Noroeste Rio-grandense,Ijuí,76963,2022
4317251,Santa Tereza,SANTA TEREZA,Nordeste Rio-grandense,Caxias do Sul,1505,2022
4317301,Santa Vitória do Palmar,SANTA VITORIA DO PALMAR,Sudeste Rio-grandense,Pelotas,30983,2022
4317400,Santiago,SANTIAGO,Centro Ocidental Rio-grandense,Santa Maria,48938,2022
4317509,Santo Ângelo,SANTO ANGELO,Noroeste Rio-grandense,Ijuí,76917,2022
4317558,Santo Antônio do Palma,SANTO ANTONIO DO PALMA,Noroeste Rio-grandense,Passo Fundo,2091,2022
4317608,Santo Antônio da Patrulha,SANTO ANTONIO DA PATRULHA,Metropolitana de Porto Alegre,Porto Alegre,42947,2022
4317707,Santo Antônio das Missões,SANTO ANTONIO DAS MISSOES,Noroeste Rio-grandense,Ijuí,10300,2022
4317756,Santo Antônio do Planalto,SANTO ANTONIO DO PLANALTO,Noroeste Rio-grandense,Passo Fundo,2089,2022
4317806,Santo Augusto,SANTO AUGUSTO,Noroeste Rio-grandense,Ijuí,13902,2022
4317905,Santo Cristo,SANTO CRISTO,Noroeste Rio-grandense,Ijuí,15320,2022
4317954,Santo Expedito do Sul,SANTO EXPEDITO DO SUL,Noroeste Rio-grandense,Passo Fundo,2349,2022
4318002,São Borja,SAO BORJA,Sudoeste Rio-grandense,Uruguaiana,59676,2022
4318051,São Domingos do Sul,SAO DOMINGOS DO SUL,Noroeste Rio-grandense,Passo Fundo,2754,2022
4318101,São Francisco de Assis,SAO FRANCISCO DE ASSIS,Sudoeste Rio-grandense,Santa Maria,17618,2022
4318200,São Francisco de Paula,SAO FRANCISCO DE PAULA,Nordeste Rio-grandense,Caxias do Sul,21893,2022
4318309,São Gabriel,SAO GABRIEL,Sudoeste Rio-grandense,Santa Maria,58487,2022
4318408,São Jerônimo,SAO JERONIMO,Metropolitana de Porto Alegre,Porto Alegre,21028,2022
4318424,São João da Urtiga,SAO JOAO DA URTIGA,Noroeste Rio-grandense,Passo Fundo,4461,2022
4318432,São João do Polêsine,SAO JOAO DO POLESINE,Centro Ocidental Rio-grandense,Santa Maria,2649,2022
4318440,São Jorge,SAO JORGE,Nordeste Rio-grandense,Caxias do Sul,2912,2022
4318457,São José das Missões,SAO JOSE DAS MISSOES,Noroeste Rio-grandense,Passo Fundo,2362,2022
4318465,São José do Herval,SAO JOSE DO HERVAL,Noroeste Rio-grandense,Passo Fundo,1902,2022
4318481,São José do Hortêncio,SAO JOSE DO HORTENCIO,Metropolitana de Porto Alegre,Porto Alegre,4447,2022
4318499,São José do Inhacorá,SAO JOSE DO INHACORA,Noroeste Rio-grandense,Ijuí,2406,2022
4318507,São José do Norte,SAO JOSE DO NORTE,Sudeste Rio-grandense,Pelotas,25443,2022
4318606,São José do Ouro,SAO JOSE DO OURO,Noroeste Rio-grandense,Passo Fundo,6834,2022
4318614,São José do Sul,SAO JOSE DO SUL,Metropolitana de Porto Alegre,Porto Alegre,2380,2022
4318622,São José dos Ausentes,SAO JOSE DOS AUSENTES,Nordeste Rio-grandense,Caxias do Sul,4172,2022
4318705,São Leopoldo,SAO LEOPOLDO,Metropolitana de Porto Alegre,Porto Alegre,217409,2022
4318804,São Lourenço do Sul,SAO LOURENCO DO SUL,Sudeste Rio-grandense,Pelotas,41989,2022
4318903,São Luiz Gonzaga,SAO LUIZ GONZAGA,Noroeste Rio-grandense,Ijuí,34752,2022
4319000,São Marcos,SAO MARCOS,Nordeste Rio-grandense,Caxias do Sul,21084,2022
4319109,São Martinho,SAO MARTINHO,Noroeste Rio-grandense,Ijuí,5481,2022
4319125,São Martinho da Serra,SAO MARTINHO DA SERRA,Centro Ocidental Rio-grandense,Santa Maria,2860,2022
4319158,São Miguel das Missões,SAO MIGUEL DAS MISSOES,Noroeste Rio-grandense,Ijuí,7056,2022
4319208,São Nicolau,SAO NICOLAU,Noroeste Rio-grandense,Ijuí,5118,2022
4319307,São Paulo das Missões,SAO PAULO DAS MISSOES,Noroeste Rio-grandense,Ijuí,5846,2022
4319356,São Pedro da Serra,SAO PEDRO DA SERRA,Metropolitana de Porto Alegre,Porto Alegre,3548,2022
4319364,São Pedro das Missões,SAO PEDRO DAS MISSOES,Noroeste Rio-grandense,Passo Fundo,1757,2022
4319372,São Pedro do Butiá,SAO PEDRO DO BUTIA,Noroeste Rio-grandense,Ijuí,3070,2022
4319406,São Pedro do Sul,SAO PEDRO DO SUL,Centro Ocidental Rio-grandense,Santa Maria,15577,2022
4319505,São Sebastião do Caí,SAO SEBASTIAO DO CAI,Metropolitana de Porto Alegre,Porto Alegre,24428,2022
4319604,São Sepé,SAO SEPE,Centro Ocidental Rio-grandense,Santa Maria,21219,2022
4319703,São Valentim,SAO VALENTIM,Noroeste Rio-grandense,Passo Fundo,3264,2022
4319711,São Valentim do Sul,SAO VALENTIM DO SUL,Nordeste Rio-grandense,Caxias do Sul,2207,2022
4319737,São Valério do Sul,SAO VALERIO DO SUL,Noroeste Rio-grandense,Ijuí,2543,2022
4319752,São Vendelino,SAO VENDELINO,Metropolitana de Porto Alegre,Porto Alegre,2251,2022
4319802,São Vicente do Sul,SAO VICENTE DO SUL,Centro Ocidental Rio-grandense,Santa Maria,8097,2022
4319901,Sapiranga,SAPIRANGA,Metropolitana de Porto Alegre,Porto Alegre,75648,2022
4320008,Sapucaia do Sul,SAPUCAIA DO SUL,Metropolitana de Porto Alegre,Porto Alegre,132107,2022
4320107,Sarandi,SARANDI,Noroeste Rio-grandense,Passo Fundo,22851,2022
4320206,Seberi,SEBERI,Noroeste Rio-grandense,Passo Fundo,11950,2022
4320230,Sede Nova,SEDE NOVA,Noroeste Rio-grandense,Ijuí,2704,2022
4320263,Segredo,SEGREDO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,6009,2022
4320305,Selbach,SELBACH,Noroeste Rio-grandense,Passo Fundo,5107,2022
4320321,Senador Salgado Filho,SENADOR SALGADO FILHO,Noroeste Rio-grandense,Ijuí,2673,2022
4320354,Sentinela do Sul,SENTINELA DO SUL,Metropolitana de Porto Alegre,Porto Alegre,5306,2022
4320404,Serafina Corrêa,SERAFINA CORREA,Nordeste Rio-grandense,Caxias do Sul,16961,2022
4320453,Sério,SERIO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,1941,2022
4320503,Sertão,SERTAO,Noroeste Rio-grandense,Passo Fundo,5541,2022
4320552,Sertão Santana,SERTAO SANTANA,Metropolitana de Porto Alegre,Porto Alegre,5863,2022
4320578,Sete de Setembro,SETE DE SETEMBRO,Noroeste Rio-grandense,Ijuí,1830,2022
4320602,Severiano de Almeida,SEVERIANO DE ALMEIDA,Noroeste Rio-grandense,Passo Fundo,3406,2022
4320651,Silveira Martins,SILVEIRA MARTINS,Centro Ocidental Rio-grandense,Santa Maria,2028,2022
4320677,Sinimbu,SINIMBU,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,8578,2022
4320701,Sobradinho,SOBRADINHO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,14226,2022
4320800,Soledade,SOLEDADE,Noroeste Rio-grandense,Passo Fundo,29991,2022
4320859,Tabaí,TABAI,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,4461,2022
4320909,Tapejara,TAPEJARA,Noroeste Rio-grandense,Passo Fundo,24557,2022
4321006,Tapera,TAPERA,Noroeste Rio-grandense,Passo Fundo,10592,2022
4321105,Tapes,TAPES,Metropolitana de Porto Alegre,Porto Alegre,14695,2022
4321204,Taquara,TAQUARA,Metropolitana de Porto Alegre,Porto Alegre,53242,2022
4321303,Taquari,TAQUARI,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,25198,2022
4321329,Taquaruçu do Sul,TAQUARUCU DO SUL,Noroeste Rio-grandense,Passo Fundo,3119,2022
4321352,Tavares,TAVARES,Metropolitana de Porto Alegre,Porto Alegre,5212,2022
4321402,Tenente Portela,TENENTE PORTELA,Noroeste Rio-grandense,Ijuí,14497,2022
4321436,Terra de Areia,TERRA DE AREIA,Metropolitana de Porto Alegre,Porto Alegre,10334,2022
4321451,Teutônia,TEUTONIA,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,32797,2022
4321469,Tio Hugo,TIO HUGO,Noroeste Rio-grandense,Passo Fundo,3267,2022
4321477,Tiradentes do Sul,TIRADENTES DO SUL,Noroeste Rio-grandense,Ijuí,5129,2022
4321493,Toropi,TOROPI,Centro Ocidental Rio-grandense,Santa Maria,2554,2022
4321501,Torres,TORRES,Metropolitana de Porto Alegre,Porto Alegre,41751,2022
4321600,Tramandaí,TRAMANDAI,Metropolitana de Porto Alegre,Porto Alegre,54387,2022
4321626,Travesseiro,TRAVESSEIRO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,2152,2022
4321634,Três Arroios,TRES ARROIOS,Noroeste Rio-grandense,Passo Fundo,2591,2022
4321667,Três Cachoeiras,TRES CACHOEIRAS,Metropolitana de Porto Alegre,Porto Alegre,10962,2022
4321709,Três Coroas,TRES COROAS,Metropolitana de Porto Alegre,Porto Alegre,24425,2022
4321808,Três de Maio,TRES DE MAIO,Noroeste Rio-grandense,Ijuí,24916,2022
4321832,Três Forquilhas,TRES FORQUILHAS,Metropolitana de Porto Alegre,Porto Alegre,2760,2022
4321857,Três Palmeiras,TRES PALMEIRAS,Noroeste Rio-grandense,Passo Fundo,4716,2022
4321907,Três Passos,TRES PASSOS,Noroeste Rio-grandense,Ijuí,25436,2022
4321956,Trindade do Sul,TRINDADE DO SUL,Noroeste Rio-grandense,Passo Fundo,7556,2022
4322004,Triunfo,TRIUNFO,Metropolitana de Porto Alegre,Porto Alegre,27498,2022
4322103,Tucunduva,TUCUNDUVA,Noroeste Rio-grandense,Ijuí,5542,2022
4322152,Tunas,TUNAS,Noroeste Rio-grandense,Santa Cruz do Sul - Lajeado,3681,2022
4322186,Tupanci do Sul,TUPANCI DO SUL,Noroeste Rio-grandense,Passo Fundo,1374,2022
4322202,Tupanciretã,TUPANCIRETA,Centro Ocidental Rio-grandense,Passo Fundo,20005,2022
4322251,Tupandi,TUPANDI,Metropolitana de Porto Alegre,Porto Alegre,5029,2022
4322301,Tuparendi,TUPARENDI,Noroeste Rio-grandense,Ijuí,8363,2022
4322327,Turuçu,TURUCU,Sudeste Rio-grandense,Pelotas,3419,2022
4322343,Ubiretama,UBIRETAMA,Noroeste Rio-grandense,Ijuí,1994,2022
4322350,União da Serra,UNIAO DA SERRA,Nordeste Rio-grandense,Caxias do Sul,1170,2022
4322376,Unistalda,UNISTALDA,Centro Ocidental Rio-grandense,Santa Maria,1995,2022
4322400,Uruguaiana,URUGUAIANA,Sudoeste Rio-grandense,Uruguaiana,117210,2022
4322509,Vacaria,VACARIA,Nordeste Rio-grandense,Caxias do Sul,64197,2022
