cod_municipio,municipio,municipio_norm,mesorregiao,regiao_intermediaria,populacao,ano_populacao
4322525,Vale Verde,VALE VERDE,Metropolitana de Porto Alegre,Santa Cruz do Sul - Lajeado,3150,2022
4322533,Vale do Sol,VALE DO SOL,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,9897,2022
4322541,Vale Real,VALE REAL,Metropolitana de Porto Alegre,Caxias do Sul,6058,2022
4322558,Vanini,VANINI,Noroeste Rio-grandense,Passo Fundo,2004,2022
4322608,Venâncio Aires,VENANCIO AIRES,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,68763,2022
4322707,Vera Cruz,VERA CRUZ,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,26710,2022
4322806,Veranópolis,VERANOPOLIS,Nordeste Rio-grandense,Caxias do Sul,24021,2022
4322855,Vespasiano Corrêa,VESPASIANO CORREA,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,1818,2022
4322905,Viadutos,VIADUTOS,Noroeste Rio-grandense,Passo Fundo,4769,2022
4323002,Viamão,VIAMAO,Metropolitana de Porto Alegre,Porto Alegre,224112,2022
4323101,Vicente Dutra,VICENTE DUTRA,Noroeste Rio-grandense,Passo Fundo,4665,2022
4323200,Victor Graeff,VICTOR GRAEFF,Noroeste Rio-grandense,Passo Fundo,2780,2022
4323309,Vila Flores,VILA FLORES,Nordeste Rio-grandense,Caxias do Sul,3646,2022
4323358,Vila Lângaro,VILA LANGARO,Noroeste Rio-grandense,Passo Fundo,2079,2022
4323408,Vila Maria,VILA MARIA,Noroeste Rio-grandense,Passo Fundo,4413,2022
4323457,Vila Nova do Sul,VILA NOVA DO SUL,Centro Ocidental Rio-grandense,Santa Maria,3863,2022
4323507,Vista Alegre,VISTA ALEGRE,Noroeste Rio-grandense,Passo Fundo,2660,2022
4323606,Vista Alegre do Prata,VISTA ALEGRE DO PRATA,Nordeste Rio-grandense,Caxias do Sul,1590,2022
4323705,Vista Gaúcha,VISTA GAUCHA,Noroeste Rio-grandense,Ijuí,2783,2022
4323754,Vitória das Missões,VITORIA DAS MISSOES,Noroeste Rio-grandense,Ijuí,3260,2022
4323770,Westfália,WESTFALIA,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,3098,2022
4323804,Xangri-lá,XANGRI LA,Metropolitana de Porto Alegre,Porto Alegre,16463,2022
